label,is_not_disease,is_pathogen,parent_label,not_human_disease,is_category,wiki_link,comments
Acinetobacter baumannii,,TRUE,,,,http://en.wikipedia.org/wiki/Acinetobacter_baumannii,
Adenovirus,,TRUE,,,,http://en.wikipedia.org/wiki/Adenoviridae,
African Horse Sickness,,,,TRUE,,http://en.wikipedia.org/wiki/African_horse_sickness,
African Swine Fever,,TRUE,Fever,TRUE,,http://en.wikipedia.org/wiki/African_swine_fever_virus,
African Trypanosomiasis,,,,,,http://en.wikipedia.org/wiki/African_trypanosomiasis,
Algae,TRUE,,Environmental,TRUE,?,http://en.wikipedia.org/wiki/Algae,NAP
Amebiasis,,,,,,http://en.wikipedia.org/wiki/Amoebiasis,
Amoeba,TRUE,,,,?,http://en.wikipedia.org/wiki/Amoeba,
Animal Die-off,TRUE,,,TRUE,TRUE,NF,
Anisakis,,TRUE,,,,http://en.wikipedia.org/wiki/Anisakis,
Anthrax,,,,,,http://en.wikipedia.org/wiki/Anthrax,
Antibiotic resistance,TRUE,,,,TRUE,http://en.wikipedia.org/wiki/Antibiotic_resistance,NAP
Arenavirus,,TRUE,Hemorrhagic Fever,,,http://en.wikipedia.org/wiki/Arenavirus,
Ascariasis,,,,,,http://en.wikipedia.org/wiki/Ascariasis,
Aspergillosis,,,,,,http://en.wikipedia.org/wiki/Aspergillosis,
Avian Cholera,,,,TRUE,,http://en.wikipedia.org/wiki/Fowl_cholera,
Avian Influenza,,,Influenza,,TRUE,http://en.wikipedia.org/wiki/Avian_influenza,
Avian Influenza H5N1,,TRUE,Avian Influenza,,,http://en.wikipedia.org/wiki/Influenza_A_virus_subtype_H5N1,Influenza A virus subtype H5N1
Avian Influenza H5N6,,TRUE,Avian Influenza,,,,
Avian Influenza H7N9,,TRUE,Avian Influenza,,,http://en.wikipedia.org/wiki/Influenza_A_virus_subtype_H7N9,Infuenza A virus subtype H7N9
Avian Influenza H7N9,,TRUE,Avian Influenza,,,,
Babesiosis,,,,,,http://en.wikipedia.org/wiki/Babesiosis,
Bacterial Meningitis,,,Meningitis,,,http://en.wikipedia.org/wiki/Meningitis,"Meningitis - sub heading ""bacterial"""
Bartonella,,TRUE,,,,http://en.wikipedia.org/wiki/Bartonella,
Bite,TRUE,,,,,http://en.wikipedia.org/wiki/Animal_bite,NAP
Blastomycosis,,,,,,http://en.wikipedia.org/wiki/Blastomycosis,
Blue Ear,,,,TRUE,,http://en.wikipedia.org/wiki/Porcine_reproductive_and_respiratory_syndrome_virus,Porcine reproductive and respiratory syndrome virus
Bluetongue,,TRUE,,TRUE,,http://en.wikipedia.org/wiki/Bluetongue_disease,
Botulism,,,,,,http://en.wikipedia.org/wiki/Botulism,
Bovine Pleuropneumonia,,,,TRUE,,http://en.wikipedia.org/wiki/Contagious_bovine_pleuropneumonia,Contagious bovine pleuropneumonia
Bovine TB,,,Tuberculosis,TRUE,,http://en.wikipedia.org/wiki/Mycobacterium_bovis,Mycobacterium bovis
Bronchiolitis,,,,,,http://en.wikipedia.org/wiki/Bronchiolitis,
Bronchitis,,,,,,http://en.wikipedia.org/wiki/Bronchitis,
Brucellosis,,,,,,http://en.wikipedia.org/wiki/Brucellosis,
BSE,,,,,,http://en.wikipedia.org/wiki/Bovine_spongiform_encephalopathy,Bovine spongiform encephalopathy
Burkholderia cepacia,,TRUE,,,,http://en.wikipedia.org/wiki/Burkholderia_cepacia_complex,
C. difficile,,TRUE,,,,http://en.wikipedia.org/wiki/Clostridium_difficile_colitis,"Clostridium difficile colitis, C. diff diarrhea, pseudomembranous colitis"
Campylobacter,,TRUE,,,,http://en.wikipedia.org/wiki/Campylobacter,
Canine distemper,,,,TRUE,,http://en.wikipedia.org/wiki/Canine_distemper,
Canine Influenza,,,Influenza,TRUE,,http://en.wikipedia.org/wiki/Canine_influenza,
Carbapenem-resistant enterobacteriaceae,,TRUE,Antibiotic resistance,,,http://en.wikipedia.org/wiki/Carbapenem_resistant_enterobacteriaceae,
Cat Scratch Fever,,,Fever,,,http://en.wikipedia.org/wiki/Cat_scratch_disease,"Cat Scratch Disease, Cat Scratch Fever is the 3rd studio album by Ted Nugent I found out...."
Chagas,,,,,,http://en.wikipedia.org/wiki/Chagas_disease,Chagas disease
Chicken Pox,,,,,,http://en.wikipedia.org/wiki/Chickenpox,Chickenpox
Chikungunya,,TRUE,,,,http://en.wikipedia.org/wiki/Chikungunya,
Chlamydia,,TRUE,,,,http://en.wikipedia.org/wiki/Chlamydia_infection,
Cholera,,,,,,http://en.wikipedia.org/wiki/Cholera,
Chronic Wasting Disease,,,,TRUE,,http://en.wikipedia.org/wiki/Chronic_wasting_disease,
Chronic/Non-Infectious Disease,TRUE,,,,,NAP,
Citrobacter freundii,,TRUE,,,,http://en.wikipedia.org/wiki/Citrobacter_freundii,
CJD,,,,,,http://en.wikipedia.org/wiki/Creutzfeldt%E2%80%93Jakob_disease,Creutzfeldt-Jacobs disease
Classical Swine Fever,,TRUE,,TRUE,,http://en.wikipedia.org/wiki/Classical_swine_fever,"Hog cholera, pig plague"
Clostridium perfringens enterotoxin (CPE),,TRUE,,,,http://en.wikipedia.org/wiki/Clostridium_enterotoxin,
Clostridium perfringens,,TRUE,,,,http://en.wikipedia.org/wiki/Clostridium_perfringens,
Cold,,,,,,http://en.wikipedia.org/wiki/Common_cold,Common cold
Colitis,TRUE,,,,,http://en.wikipedia.org/wiki/Colitis,
Conflict,TRUE,,,TRUE,,NAP,
Conjunctivitis,,,,,,http://en.wikipedia.org/wiki/Conjunctivitis,Pink eye
Coronavirus,,TRUE,,,,http://en.wikipedia.org/wiki/Coronavirus,
Crimean-Congo Hemorrhagic Fever,,TRUE,Hemorrhagic Fever,,,http://en.wikipedia.org/wiki/Crimean-Congo_hemorrhagic_fever,
Cryptococcosis,,TRUE,,,,http://en.wikipedia.org/wiki/Cryptococcosis,
Cryptosporidium,,TRUE,,,,http://en.wikipedia.org/wiki/Cryptosporidium,
Cysticercosis,,,,,,http://en.wikipedia.org/wiki/Cysticercosis,
Cytomegalovirus,,TRUE,,,,http://en.wikipedia.org/wiki/Cytomegalovirus,
Dengue,,TRUE,Fever,,,http://en.wikipedia.org/wiki/Dengue_fever,Dengue Fever
Diarrhea,TRUE,,,,,http://en.wikipedia.org/wiki/Diarrhea,
Diphtheria,,,,,,http://en.wikipedia.org/wiki/Diphtheria,
Diphyllobothriasis,,,,,,http://en.wikipedia.org/wiki/Diphyllobothriasis,
Dysentery,TRUE,,,,,http://en.wikipedia.org/wiki/Dysentery,
E. coli,,TRUE,,,,http://en.wikipedia.org/wiki/Escherichia_coli,Escherichia coli
Eastern Equine Encephalitis,,TRUE,Encephalitis,,,http://en.wikipedia.org/wiki/Eastern_equine_encephalitis_virus,"EEE, Triple E, sleeping sickness"
Ebola,,TRUE,Hemorrhagic Fever,,,http://en.wikipedia.org/wiki/Ebola_virus_disease,Ebola virus diseae
Echinococcosis,,TRUE,,,,http://en.wikipedia.org/wiki/Echinococcosis,"hydatid disease, hydatidosis, echinococcal disease"
Elephantiasis,,,,,,http://en.wikipedia.org/wiki/Elephantiasis,
Encephalitis,TRUE,,,,,http://en.wikipedia.org/wiki/Encephalitis,
Enterobacter cloacae,,TRUE,,,,http://en.wikipedia.org/wiki/Enterobacter_cloacae,
Enterococcus,,TRUE,,,,http://en.wikipedia.org/wiki/Enterococcus,
Enterovirus,,TRUE,,,,http://en.wikipedia.org/wiki/Enterovirus,
Environmental,TRUE,,,,,NAP,
Eosinophilia,TRUE,,,,,http://en.wikipedia.org/wiki/Eosinophilia,
Epizootic Hemorrhagic Disease,,,,,,http://en.wikipedia.org/wiki/Epizootic_Hemorrhagic_Disease,
